SubjNo,gender,Location,Exp,YOT,MOT,DOT,YOB,MOB,DOB,Age.Months,Age.yrs,Age,Eng. Mono,langs,WordType,List,question.number,Order,trial type,LabelType,TriadType,regularity,animacy,Correct,UnrelatedChoice,Direction,Sequence ,Exclude,Comments,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,9,10,critical,Different Label,Horse,regular,animate,Yes,1,R,2,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,5,11,critical,Same Label,Glass,irregular,inanimate,Yes,1,L,1,No,,
H062515-MG,M,MUS,JF,2015,6,25,2011,7,29,47,3.905707763,3,Yes,0,Polysemous,1B Backwards,1,12,critical,Different Label,Chicken,regular,animate,Yes,1,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,A,,training,Same Label,,,,Yes,0,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,B,,training,Different Label,,,,Yes,0,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,12,1,critical,Same Label,Horse,,,No,1,L,1,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,8,2,critical,Different Label,Glass,,,No,1,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,4,3,critical,Same Label,Chicken,,,Yes,0,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,11,4,critical,Different Label,Horse,,,Yes,0,L,1,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,7,5,critical,Same Label,Glass,,,No,1,L,1,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,3,6,critical,Different Label,Chicken,,,No,1,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,10,7,critical,Same Label,Horse,,,Yes,0,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,6,8,critical,Different Label,Glass,,,No,1,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,2,9,critical,Same Label,Chicken,,,Yes,0,R,2,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,9,10,critical,Different Label,Horse,,,Yes,0,L,1,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,5,11,critical,Same Label,Glass,,,No,1,L,1,No,,
H062515-AW,F,MUS,JF,2015,6,25,2011,9,19,45,3.766438356,3,Yes,0,Non-Polysemous,1B Backwards,1,12,critical,Different Label,Chicken,,,No,1,R,2,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,A,,training,Same Label,,,,No,1,L,1,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,B,,training,Different Label,,,,No,1,L,1,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,1,1,critical,Same Label,Chicken,regular,animate,Yes,1,L,1,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,5,2,critical,Different Label,Glass,irregular,inanimate,No,0,L,1,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,9,3,critical,Same Label,Horse,regular,animate,Yes,1,L,1,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,2,4,critical,Different Label,Chicken,regular,animate,Yes,1,R,2,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,6,5,critical,Same Label,Glass,irregular,inanimate,No,0,R,2,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,10,6,critical,Different Label,Horse,regular,animate,Yes,1,R,2,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,3,7,critical,Same Label,Chicken,regular,animate,Yes,1,L,1,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,7,8,critical,Different Label,Glass,irregular,inanimate,No,0,L,1,No,Pointed at plastic first then at glass accidentally (reverse order) ,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,11,9,critical,Same Label,Horse,regular,animate,Yes,1,L,1,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,4,10,critical,Different Label,Chicken,regular,animate,Yes,1,R,2,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,8,11,critical,Same Label,Glass,irregular,inanimate,No,0,R,2,No,,
L062615-DM,F,MUS,JF,2015,6,26,2011,3,2,52,4.315753425,4,Yes,0,Polysemous,1A,12,12,critical,Different Label,Horse,regular,animate,Yes,1,R,2,No,,
