SubjNo,Gender,Age,List,ItemNo,TriadType,Order,WordType,LabelType,Correct,UnrelatedChoice,Comments
18,M,39,1B Backwards,5,Glass,11,Unambiguous,Different,Y,0,
18,M,39,1B Backwards,6,Glass,8,Unambiguous,Same,Y,0,
18,M,39,1B Backwards,7,Glass,5,Unambiguous,Different,Y,0,
18,M,39,1B Backwards,8,Glass,2,Unambiguous,Same,Y,0,
18,M,39,1B Backwards,9,Horse,10,Unambiguous,Same,Y,0,
18,M,39,1B Backwards,10,Horse,7,Unambiguous,Different,N,1,
18,M,39,1B Backwards,11,Horse,4,Unambiguous,Same,N,1,
18,M,39,1B Backwards,12,Horse,1,Unambiguous,Different,N,1,
19,F,23,1A Backwards,1,Chicken,12,Polysemous,Same,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,2,Chicken,9,Polysemous,Different,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,3,Chicken,6,Polysemous,Same,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,4,Chicken,3,Polysemous,Different,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,5,Glass,11,Polysemous,Different,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,6,Glass,8,Polysemous,Same,N,0,Home Language- Mandarin/English
19,F,23,1A Backwards,7,Glass,5,Polysemous,Different,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,8,Glass,2,Polysemous,Same,N,0,Home Language- Mandarin/English
19,F,23,1A Backwards,9,Horse,10,Polysemous,Same,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,10,Horse,7,Polysemous,Different,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,11,Horse,4,Polysemous,Same,Y,1,Home Language- Mandarin/English
19,F,23,1A Backwards,12,Horse,1,Polysemous,Different,Y,1,Home Language- Mandarin/English
20,F,19,1A Backwards,1,Chicken,12,Unambiguous,Same,Y,0,
20,F,19,1A Backwards,2,Chicken,9,Unambiguous,Different,Y,0,
20,F,19,1A Backwards,3,Chicken,6,Unambiguous,Same,Y,0,
20,F,19,1A Backwards,4,Chicken,3,Unambiguous,Different,Y,0,
20,F,19,1A Backwards,5,Glass,11,Unambiguous,Different,Y,0,
20,F,19,1A Backwards,6,Glass,8,Unambiguous,Same,Y,0,
20,F,19,1A Backwards,7,Glass,5,Unambiguous,Different,Y,0,
20,F,19,1A Backwards,8,Glass,2,Unambiguous,Same,N,1,
20,F,19,1A Backwards,9,Horse,10,Unambiguous,Same,Y,0,
20,F,19,1A Backwards,10,Horse,7,Unambiguous,Different,Y,0,
20,F,19,1A Backwards,11,Horse,4,Unambiguous,Same,Y,0,
20,F,19,1A Backwards,12,Horse,1,Unambiguous,Different,Y,0,
21,F,25,1B Backwards,1,Chicken,3,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,2,Chicken,6,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,3,Chicken,9,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,4,Chicken,12,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,5,Glass,2,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,6,Glass,5,Polysemous,Different,N,0,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,7,Glass,8,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,8,Glass,11,Polysemous,Different,N,0,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,9,Horse,1,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,10,Horse,4,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,11,Horse,7,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
21,F,25,1B Backwards,12,Horse,10,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
22,F,18,1A,1,Chicken,1,Unambiguous,Same,Y,0,
22,F,18,1A,2,Chicken,4,Unambiguous,Different,N,1,
22,F,18,1A,3,Chicken,7,Unambiguous,Same,N,1,
22,F,18,1A,4,Chicken,10,Unambiguous,Different,N,1,
22,F,18,1A,5,Glass,2,Unambiguous,Different,N,1,
22,F,18,1A,6,Glass,5,Unambiguous,Same,N,1,
22,F,18,1A,7,Glass,8,Unambiguous,Different,N,1,
22,F,18,1A,8,Glass,11,Unambiguous,Same,N,1,
22,F,18,1A,9,Horse,3,Unambiguous,Same,Y,0,
22,F,18,1A,10,Horse,6,Unambiguous,Different,Y,0,
22,F,18,1A,11,Horse,9,Unambiguous,Same,Y,0,
22,F,18,1A,12,Horse,12,Unambiguous,Different,Y,0,
23,F,23,1B Backwards,1,Chicken,3,Polysemous,Different,N,0,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,2,Chicken,6,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,3,Chicken,9,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,4,Chicken,12,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,5,Glass,2,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,6,Glass,5,Polysemous,Different,N,0,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,7,Glass,8,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,8,Glass,11,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,9,Horse,1,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,10,Horse,4,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,11,Horse,7,Polysemous,Different,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
23,F,23,1B Backwards,12,Horse,10,Polysemous,Same,Y,1,Seemed to overthink things. Often struggled with responses and asked to repeat questions.
24,F,25,1A,1,Chicken,3,Polysemous,Same,Y,1,
24,F,25,1A,2,Chicken,6,Polysemous,Different,Y,1,
24,F,25,1A,3,Chicken,9,Polysemous,Same,Y,1,
24,F,25,1A,4,Chicken,12,Polysemous,Different,Y,1,
24,F,25,1A,5,Glass,2,Polysemous,Different,Y,1,
24,F,25,1A,6,Glass,5,Polysemous,Same,Y,1,
24,F,25,1A,7,Glass,8,Polysemous,Different,Y,1,
24,F,25,1A,8,Glass,11,Polysemous,Same,Y,1,
24,F,25,1A,9,Horse,1,Polysemous,Same,Y,1,
24,F,25,1A,10,Horse,4,Polysemous,Different,Y,1,
24,F,25,1A,11,Horse,7,Polysemous,Same,Y,1,
24,F,25,1A,12,Horse,10,Polysemous,Different,Y,1,
